2908,自动控制工程师/技术员,Autocontrol Engineer/Technician
2957,硬件测试工程师,Hardware Testing QA
2911,电池/电源开发,Battery/Power Engineer
2920,电子/电器维修工程师/技师,Electronic/Electrical Appliance Technologist
2909,电子软件开发(ARM/MCU等),Electronics Software (ARM/MCU…)
2956,高级硬件工程师,Senior Hardware Engineer
2918,激光/光电子技术,Laser/Optoelectronics Technology
2919,嵌入式硬件开发(主板机等),Embedded Hardware Engineer(PCB…)
2914,仪器/仪表/计量分析师,Instrument/Measurement Analyst
2951,电子工艺工程师,Electronic Process Engineer
2964,PCB工程师,PCB Engineer
2965,SMT工程师,SMT Engineer
2963,机器人调试工程师,Rob Commissioning Engineer
2962,电子元器件工程师,Electronic Component Engineer
2952,电子销售工程师,Electronic Sales Engineer
2958,计量工程师,Measure Engineer
2905,电路工程师/技术员(模拟/数字),Electronic Circuit Engineer(Analog/Digital)
2959,电子设备工程师,Electronic Device Engineer
2954,电子产品经理/产品工程师,Electronic Product Manager/Engineer
2921,变压器与磁电工程师,Transformer and Magnetoelectricity Engineer
2906,电声/音响工程师/技术员,Electroacoustics Engineer
2913,家用电器/数码产品研发,Household Electronics/Digital Products Development
2953,电子文档工程师,Electronic Document Engineer
2925,安防系统工程师,Security System Engineer
2970,智能硬件装调员,Intelligent Hardware Assembler
2971,工业视觉系统运维员,Operator of Industrial Vision System
2969,服务机器人应用技术员,Service Robot Application Technician
6701,集成电路IC设计,IC Design/Application Engineer
6712,FAE 现场应用工程师,Field Application Engineer (FAE)
6723,半导体工艺工程师,Semiconductor Process Engineer
6739,半导体设备工程师,Semiconductor Equipment Engineer
6761,半导体器件工程师,Semiconductor Device Engineer
6728,FPGA开发工程师,FPGA Development Engineer
6746,芯片销售工程师,IC Sales Engineer
6702,IC验证工程师,IC Verification Engineer
A0LG,模拟芯片设计,Analog IC Design Engineer
A0LF,IC版图设计,Layout Design Engineer
A0LI,半导体产品经理/产品工程师,IC Product Manager/Engineer
6740,工艺整合工程师(PIE),Process Integration Engineer
A0LH,芯片测试工程师,IC Test Engineer
A0LJ,封装工程师,Packaging Engineer
6733,数字前端工程师,Digital IC Front-end Design Engineer
6741,失效分析工程师(FA),Failure Analysis Engineer
6737,数字后端工程师,Digital IC Physical Design Engineer
6727,芯片架构工程师,Chip Architect
6729,MEMS工程师,MEMS Development Engineer
6735,EDA工程师,EDA Engineer
6734,FPGA原型验证工程师,FPGA Prototyping Engineer
